gbifID,license,rightsHolder,institutionCode,year,month,day,coordinateUncertaintyInMeters,species,longitude,latitude
2397516155,CC_BY_NC_4_0,vononarbgkew,iNaturalist,2019,8,11,4,Dypsis nodifera,49.67387,-16.805377
2397516017,CC_BY_NC_4_0,vononarbgkew,iNaturalist,2019,8,11,3,Dypsis nodifera,49.676743,-16.803122
2397515145,CC_BY_NC_4_0,vononarbgkew,iNaturalist,2019,8,11,3,Dypsis nodifera,49.675145,-16.804425
2268865622,CC_BY_4_0,Missouri Botanical Garden,MO,2006,9,14,NA,Dypsis betsimisarakae,49.603333,-16.669444
2268863965,CC_BY_4_0,Missouri Botanical Garden,MO,1991,10,10,NA,Dypsis nodifera,49.816667,-16.416667
2268862328,CC_BY_4_0,Missouri Botanical Garden,MO,1994,10,23,NA,Dypsis nodifera,49.7,-16.483333
2268862230,CC_BY_4_0,Missouri Botanical Garden,MO,1991,10,11,NA,Dypsis nodifera,49.7,-16.716667
1928075921,CC0_1_0,The New York Botanical Garden,NY,2006,9,15,NA,Dypsis integra,49.6056,-16.66358
1677261542,CC_BY_NC_4_0,Landy Rita,iNaturalist,2016,6,11,17,Dypsis lastelliana,49.71539,-16.765792
1453257920,CC_BY_NC_4_0,mamy_andriamahay,iNaturalist,2016,11,29,21,Dypsis lastelliana,49.676618,-16.777728
1291082714,CC_BY_NC_4_0,Helene Ralimanana,iNaturalist,2016,6,13,42,Dypsis lastelliana,49.685602,-16.788466
1261014731,CC_BY_4_0,Missouri Botanical Garden,MO,2006,9,NA,NA,Dypsis linearis,49.58333,-16.8
1261012952,CC_BY_4_0,Missouri Botanical Garden,MO,2006,9,NA,NA,Dypsis concinna,49.73333,-16.68333
1261009209,CC_BY_4_0,Missouri Botanical Garden,MO,1994,8,NA,NA,Dypsis perrieri,49.73333,-16.38333
1261009192,CC_BY_4_0,Missouri Botanical Garden,MO,1992,4,NA,NA,Dypsis procumbens,49.63333,-16.3
1261009141,CC_BY_4_0,Missouri Botanical Garden,MO,2006,9,NA,NA,Dypsis pervillei,49.73333,-16.68333
1261009135,CC_BY_4_0,Missouri Botanical Garden,MO,2006,9,NA,NA,Dypsis perrieri,49.73333,-16.68333
1261008606,CC_BY_4_0,Missouri Botanical Garden,MO,2006,9,NA,NA,Dypsis pilulifera,49.73333,-16.68333
1260964149,CC_BY_4_0,Missouri Botanical Garden,MO,2006,9,NA,NA,Dypsis humbertii,49.73333,-16.68333
1260964088,CC_BY_4_0,Missouri Botanical Garden,MO,2006,9,NA,NA,Dypsis integra,49.73333,-16.68333
1260923623,CC_BY_4_0,Missouri Botanical Garden,MO,1994,8,NA,NA,Dypsis fibrosa,49.83333,-16.43333
1260923621,CC_BY_4_0,Missouri Botanical Garden,MO,2006,9,15,NA,Dypsis fibrosa,49.603333,-16.673889
1260923575,CC_BY_4_0,Missouri Botanical Garden,MO,1991,10,NA,NA,Dypsis bejofo,49.83333,-16.43333
1260923073,CC_BY_4_0,Missouri Botanical Garden,MO,1994,8,NA,NA,Dypsis hovomantsina,49.83333,-16.43333
1260918234,CC_BY_4_0,Missouri Botanical Garden,MO,1912,8,NA,NA,Dypsis mocquerysiana,49.73333,-16.38333
1260917223,CC_BY_4_0,Missouri Botanical Garden,MO,1992,4,13,NA,Dypsis viridis,49.76666,-16.45
1260917188,CC_BY_4_0,Missouri Botanical Garden,MO,1992,4,NA,NA,Dypsis glabrescens,49.76666,-16.45
1260915656,CC_BY_4_0,Missouri Botanical Garden,MO,1991,10,NA,NA,Dypsis pusilla,49.83333,-16.43333
1260915214,CC_BY_4_0,Missouri Botanical Garden,MO,1917,8,NA,NA,Dypsis fasciculata,49.73333,-16.38333
1260915199,CC_BY_4_0,Missouri Botanical Garden,MO,1992,4,NA,NA,Dypsis fasciculata,49.73333,-16.38333
1260915194,CC_BY_4_0,Missouri Botanical Garden,MO,1994,NA,NA,NA,Dypsis crinita,49.73333,-16.38333
1260914845,CC_BY_4_0,Missouri Botanical Garden,MO,1992,4,NA,NA,Dypsis lantzeana,49.63333,-16.3
1260914843,CC_BY_4_0,Missouri Botanical Garden,MO,1992,4,NA,NA,Dypsis forficifolia,49.76666,-16.45
1260914825,CC_BY_4_0,Missouri Botanical Garden,MO,1991,10,NA,NA,Dypsis lantzeana,49.73333,-16.38333
1260914683,CC_BY_4_0,Missouri Botanical Garden,MO,1992,4,NA,NA,Dypsis thiryana,49.73333,-16.38333
1260914283,CC_BY_4_0,Missouri Botanical Garden,MO,1912,10,NA,NA,Dypsis mangorensis,49.733333,-16.383333
1260914195,CC_BY_4_0,Missouri Botanical Garden,MO,NA,NA,NA,NA,Dypsis psammophila,49.73333,-16.69166
1260901376,CC_BY_4_0,Missouri Botanical Garden,MO,1991,10,NA,NA,Dypsis lastelliana,49.83333,-16.43333
1260901359,CC_BY_4_0,Missouri Botanical Garden,MO,1994,10,NA,NA,Dypsis tokoravina,49.71666,-16.45
1260899825,CC_BY_4_0,Missouri Botanical Garden,MO,1991,10,NA,NA,Dypsis tsaravoasira,49.833333,-16.433333
1260899756,CC_BY_4_0,Missouri Botanical Garden,MO,1988,2,NA,NA,Dypsis bejofo,49.83333,-16.53333
1260899747,CC_BY_4_0,Missouri Botanical Garden,MO,1994,10,NA,NA,Dypsis hovomantsina,49.83333,-16.43333
1260881605,CC_BY_4_0,Missouri Botanical Garden,MO,2007,6,29,NA,Dypsis pinnatifrons,49.71611,-16.77694
1260725713,CC_BY_4_0,Missouri Botanical Garden,MO,2007,7,4,NA,Dypsis heterophylla,49.68555,-16.78416
1260365644,CC_BY_4_0,Missouri Botanical Garden,MO,1912,10,NA,NA,Dypsis forficifolia,49.733333,-16.383333
1260352854,CC_BY_4_0,Missouri Botanical Garden,MO,1912,9,NA,NA,Dypsis linearis,49.8,-16.616667
